1: Kareem Abdul-Jabbar
419: Lee Shaffer
420: Mike Green
421: Campy Russell
422: Jameer Nelson
423: Don Sunderlage
424: Cazzie Russell
425: Jayson Williams
426: Dick Barnett
427: Tyrone Hill
428: Richie Regan
429: Warren Davis
430: Jeff Hornacek
431: Wayne Hightower
432: Dana Barros
433: Eddie Miles
434: Chris Gatling
435: Ben Warley
436: Mike Mitchell
437: Sam Lacey
438: Trooper Washington
439: Jon McGlocklin
440: Tom Gugliotta
441: Kyle Korver
442: T.R. Dunn
443: Cedric Ceballos
444: Roger Brown
445: Kenyon Martin
446: Shareef Abdur-Rahim
447: Calvin Natt
448: Woody Sauldsberry
449: Jack Molinas
450: Gus Gerard
451: Antonio Davis
452: Michael Adams
453: Harrison Barnes
454: Avery Bradley
455: Robert Covington
456: Andre Roberson
457: Sam Perkins
458: Hedo Turkoglu
459: James Edwards
460: Joe Smith
461: Johnny Newman
462: Michael Cage
463: John Lucas
464: Trevor Ariza
465: Rodney McCray
466: Jason Richardson
467: J.R. Smith
468: Kendall Gill
469: Jim Brewer
470: Dick Snyder
471: Ron Harper
472: Andre Miller
473: Elden Campbell
474: Kurt Thomas
475: Tree Rollins
476: Raymond Felton
477: Al Harrington
478: Mike Bibby
479: Mike Miller
480: Eddie Johnson
481: Leroy Ellis
482: Derrick McKey
483: Cuttino Mobley
484: David Wesley
485: Robert Horry
486: E.C. Coleman
487: Mike Gale
488: Avery Johnson
489: Jalen Rose
490: Derek Harper
491: Jamal Crawford
492: Jason Terry
493: Richard Jefferson
494: Grant Long
495: Monta Ellis
496: Mike Dunleavy
497: Stephen Jackson
498: Nate McMillan
499: Marvin Williams
500: Lamar Odom
